suite	problem	cacheFile	commandSha256	rawOutputSha256
smtlib-qfidl	DTP/DTP_k2_n35_c175_s1	fab12420b404ead7a3ad16079b57eb489f039a49e58cb8dd0e3b4ebde53fa341.json	b4ae05046e197380176009302b45ab1adc1506def71f374a1aa7542ec2e382d2	d9dbf94b05b8314af9ca7f2034e92685c33447917605a7243b1099c693a12e5e
smtlib-qfidl	RTCL/b01_tf_15/ckt_PROP0_tf_15	91ab55223849841a791b32540293c79279a1c27cc5e486121fec34cd70eb1db5.json	e934f718722da181f295dd74637ac9790e4ebb3d061391275f5df8ef7d7c5b73	5c17dfcc2a8f1f30d9e96df6a9825a5030ade046d560332c19de74d93d591a18
smtlib-qfidl	asp/15Puzzle/15-puzzle.init10	ad12103554f436471898ae6392b2723bd74bc8c76955bb02109a8dbe5c325886.json	1d93acfc113b1ef6ed625d427964e0adcd591ec631880074b931131a12a9f689	7ed6120912d915f6ba8ef82ba3ec0b703265a0979bc0a243e0144580ad0c0b6b
smtlib-qfidl	bcnscheduling/bcnscheduling100	8b25ddf96f4fe7f9f29e2b93e4062576347835112983cc6d2cd326cae73f2a1f.json	5fc917894833d1cb92645acdb0b04a97901026a605934cd5fa3fbade767f3883	5c17dfcc2a8f1f30d9e96df6a9825a5030ade046d560332c19de74d93d591a18
smtlib-qfidl	cellar/CELAR6_SUB0	b88ba645d46bc22270e2df8cc25ca3342503985a84cf25d06229578647623c33.json	7538c93fddcdd10011312eb8a1ea5b10341d0466cbe44fb6a001e215c84eba22	5c17dfcc2a8f1f30d9e96df6a9825a5030ade046d560332c19de74d93d591a18
smtlib-qfidl	check/bignum_idl1	bd40997e0860e4d02f2fbfffa94511b8479b984c4c144741334894aad02f0eee.json	d471d99df967bf05b394a33204c15d91d8c0fd2e3892d5ea14fc1aea733ae648	5c17dfcc2a8f1f30d9e96df6a9825a5030ade046d560332c19de74d93d591a18
smtlib-qfrdl	SMT-Temporal-Planning-Benchmarks/cooking01	c24d50e70156fca67c1244e5646270c1575b0e24fa133b563ba956499a100244.json	8d7ef41769f6599112a924572f27be69fcf574aac7b8f3ffa64f0e47acc86741	d9dbf94b05b8314af9ca7f2034e92685c33447917605a7243b1099c693a12e5e
smtlib-qfrdl	check/bignum_rdl1	508dba1f2f004f184a33f6059e5b06c5d490fc587759af8c2a5edf2429c3b8b0.json	071c493b0224c05b04a9a4e9bf36c920eb972c380141f8e70e4f26490e229f77	d9dbf94b05b8314af9ca7f2034e92685c33447917605a7243b1099c693a12e5e
smtlib-qfrdl	sal/fischer3-mutex-1	cbba1af6d237d62d038c41cf9a6d170a12750f635eca7341240d5cb7eec9546e.json	f429e3e60d7380c9faf7323db7ca5a0f80aa4e6e035cde933e73927b927615b0	5c17dfcc2a8f1f30d9e96df6a9825a5030ade046d560332c19de74d93d591a18
smtlib-qfrdl	scheduling/abz5_1000	237bee350311124ad561e6b9c9cd7b38f580d36914f22caec85c12553e3be0a7.json	87c77460e3138a417d9860e949523b6b4aa2928e9be12f81a1072d8a057dee6b	5c17dfcc2a8f1f30d9e96df6a9825a5030ade046d560332c19de74d93d591a18
smtlib-qfrdl	skdmxa/skdmxa-3x3-10	c446b7f04549ae50795378a4ce25bcf8458bb9586b3dce45da2a2ff385d86bba.json	c23c2f49f6c1147d33541cbb0e8d66c296da20c55e2e8886065e380a8cc438e9	5c17dfcc2a8f1f30d9e96df6a9825a5030ade046d560332c19de74d93d591a18
smtlib-qfrdl	skdmxa2/skdmxa-3x3-10.base.cvc	068653785281f97bb020f3deaf580fcaacebed29b475121b2a71f82cfb333336.json	f699a26153860541a154e5039f1dfc18b5b46cf42d5ec9daf88506c21db68478	5c17dfcc2a8f1f30d9e96df6a9825a5030ade046d560332c19de74d93d591a18
xcsp3-core	graph-coloring-tiny	c8b5b849dddf3a846db90f5fa645726cbea4027b30044a40b28344c560058846.json	281976d98dbb49bec04b9555b72b1b1e760c3e079f77729deccecc6d7b3a7c64	9f64e7ba9ff706c9528106a5a752f4ac6851e77680741b0d7b19931faf7f67c8
xcsp3-core	magic-series-tiny	40c870d8040b05ab85819b2273b3644e3830e8346b86f2ec70a5b5fe648e5b70.json	7a10a6a36d983ecd4ef74287cff980f5b02fb7688e6d9350cecec1229262f87b	798d9a256265d6dbe1d84176789552902e82a135f12dea1ea7aa0c70a59f8091
xcsp3-core	magic-square-3	a720b99d4081e50ee8a6c411ae15e0e725ab4ae369bd9cc96f62917c171c8c2c.json	437a5d08595f498269b67a706c265b768dd2a02677cce8829bc9caa4a516f6a9	5df6d707fe6152fbbec28632ba34497f4888a8fd18139e57a606f758e75fa2a1
xcsp3-core	sum-opt-tiny	699d7286631b69e2585ff56f807244d3b4ecd26c680dc0ded994a101fbdbbf13.json	6c2595d0e3e16ffc383e01000ae3480cd2867e7cea2ba543325bdd1379f1e7f7	2b91bf40f66482105d2c126852987db78b3496776ce1b2605aa20c381547250c
